incident_id,date,country,customer_type,tracking_number,carrier,category,description,status,customer_email,satisfaction_score
TRF-000001,2023-01-01,US,B2B,TRACK00000001,DHL_US,RETURN_REQUEST,Closed RETURN_REQUEST incident handled for DHL_US,CLOSED,client1@example.com,4
TRF-000002,2023-01-02,US,B2B,TRACK00000002,DHL_US,DELAYED_DELIVERY,Closed DELAYED_DELIVERY incident handled for DHL_US,CLOSED,client2@example.com,3
TRF-000003,2023-01-03,ES,B2C,TRACK00000003,LOCAL_ES,RETURN_REQUEST,Closed RETURN_REQUEST incident handled for LOCAL_ES,CLOSED,client3@example.com,3
TRF-000004,2023-01-04,ES,B2B,TRACK00000004,SEUR,WRONG_ADDRESS,Closed WRONG_ADDRESS incident handled for SEUR,CLOSED,client4@example.com,3
TRF-000005,2023-01-05,ES,B2C,TRACK00000005,DHL_ES,WRONG_ADDRESS,Closed WRONG_ADDRESS incident handled for DHL_ES,CLOSED,client5@example.com,3
TRF-000006,2023-01-06,US,B2C,TRACK00000006,UPS,LOST_PARCEL,Closed LOST_PARCEL incident handled for UPS,CLOSED,client6@example.com,1
TRF-000007,2023-01-07,ES,B2C,TRACK00000007,LOCAL_ES,DELAYED_DELIVERY,Closed DELAYED_DELIVERY incident handled for LOCAL_ES,CLOSED,client7@example.com,3
TRF-000008,2023-01-08,ES,B2C,TRACK00000008,SEUR,LOST_PARCEL,Closed LOST_PARCEL incident handled for SEUR,CLOSED,client8@example.com,2
TRF-000009,2023-01-09,ES,B2B,TRACK00000009,LOCAL_ES,RETURN_REQUEST,Closed RETURN_REQUEST incident handled for LOCAL_ES,CLOSED,client9@example.com,4
TRF-000010,2023-01-10,US,B2B,TRACK00000010,UPS,WRONG_ADDRESS,Closed WRONG_ADDRESS incident handled for UPS,CLOSED,client10@example.com,3
TRF-000011,2023-01-11,ES,B2C,TRACK00000011,DHL_ES,DELAYED_DELIVERY,Closed DELAYED_DELIVERY incident handled for DHL_ES,CLOSED,client11@example.com,3
TRF-000012,2023-01-12,ES,B2B,TRACK00000012,SEUR,LOST_PARCEL,Closed LOST_PARCEL incident handled for SEUR,CLOSED,client12@example.com,3
TRF-000013,2023-01-13,US,B2B,TRACK00000013,UPS,RETURN_REQUEST,Closed RETURN_REQUEST incident handled for UPS,CLOSED,client13@example.com,3
TRF-000014,2023-01-14,ES,B2B,TRACK00000014,DHL_ES,DAMAGE,Closed DAMAGE incident handled for DHL_ES,CLOSED,client14@example.com,3
TRF-000015,2023-01-15,ES,B2C,TRACK00000015,LOCAL_ES,WRONG_ADDRESS,Closed WRONG_ADDRESS incident handled for LOCAL_ES,CLOSED,client15@example.com,3
TRF-000016,2023-01-16,ES,B2C,TRACK00000016,SEUR,DELAYED_DELIVERY,Closed DELAYED_DELIVERY incident handled for SEUR,CLOSED,client16@example.com,3
TRF-000017,2023-01-17,ES,B2B,TRACK00000017,MRW,DAMAGE,Closed DAMAGE incident handled for MRW,CLOSED,client17@example.com,3
TRF-000018,2023-01-18,ES,B2C,TRACK00000018,DHL_ES,WRONG_ADDRESS,Closed WRONG_ADDRESS incident handled for DHL_ES,CLOSED,client18@example.com,2
TRF-000019,2023-01-19,ES,B2C,TRACK00000019,SEUR,WRONG_ADDRESS,Closed WRONG_ADDRESS incident handled for SEUR,CLOSED,client19@example.com,3
TRF-000020,2023-01-20,US,B2C,TRACK00000020,UPS,WRONG_ADDRESS,Closed WRONG_ADDRESS incident handled for UPS,CLOSED,client20@example.com,3
TRF-000021,2023-01-21,ES,B2C,TRACK00000021,DHL_ES,LOST_PARCEL,Closed LOST_PARCEL incident handled for DHL_ES,CLOSED,client21@example.com,2
TRF-000022,2023-01-22,ES,B2C,TRACK00000022,DHL_ES,LOST_PARCEL,Closed LOST_PARCEL incident handled for DHL_ES,CLOSED,client22@example.com,2
TRF-000023,2023-01-23,ES,B2B,TRACK00000023,MRW,DELAYED_DELIVERY,Closed DELAYED_DELIVERY incident handled for MRW,CLOSED,client23@example.com,4
TRF-000024,2023-01-24,US,B2C,TRACK00000024,FEDEX,DAMAGE,Closed DAMAGE incident handled for FEDEX,CLOSED,client24@example.com,2
TRF-000025,2023-01-25,ES,B2B,TRACK00000025,MRW,DAMAGE,Closed DAMAGE incident handled for MRW,CLOSED,client25@example.com,3
TRF-000026,2023-01-26,US,B2C,TRACK00000026,FEDEX,LOST_PARCEL,Closed LOST_PARCEL incident handled for FEDEX,CLOSED,client26@example.com,2
TRF-000027,2023-01-27,ES,B2B,TRACK00000027,DHL_ES,WRONG_ADDRESS,Closed WRONG_ADDRESS incident handled for DHL_ES,CLOSED,client27@example.com,3
TRF-000028,2023-01-28,US,B2B,TRACK00000028,UPS,DELAYED_DELIVERY,Closed DELAYED_DELIVERY incident handled for UPS,CLOSED,client28@example.com,3
TRF-000029,2023-01-29,ES,B2B,TRACK00000029,DHL_ES,RETURN_REQUEST,Closed RETURN_REQUEST incident handled for DHL_ES,CLOSED,client29@example.com,3
TRF-000030,2023-01-30,ES,B2B,TRACK00000030,DHL_ES,DAMAGE,Closed DAMAGE incident handled for DHL_ES,CLOSED,client30@example.com,3
TRF-000031,2023-01-31,US,B2B,TRACK00000031,FEDEX,LOST_PARCEL,Closed LOST_PARCEL incident handled for FEDEX,CLOSED,client31@example.com,2
