incident_id,date,country,customer_type,tracking_number,carrier,category,description,status,customer_email,satisfaction_score
TRF-000001,2025-03-10,US,B2B,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000002,2025-03-10,US,B2C,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000003,2025-03-10,US,B2B,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000004,2025-03-10,US,B2C,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000005,2025-03-10,US,B2B,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000006,2025-03-10,US,B2C,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000007,2025-03-10,US,B2B,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000008,2025-03-10,US,B2C,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000009,2025-03-10,US,B2B,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000010,2025-03-10,US,B2C,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000011,2025-03-10,US,B2B,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000012,2025-03-10,US,B2C,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000013,2025-03-10,US,B2B,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000014,2025-03-10,US,B2C,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000015,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000016,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000017,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000018,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000019,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000020,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000021,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000022,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000023,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000024,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000025,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000026,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000027,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000028,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000029,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000030,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,1
TRF-000031,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,1
TRF-000032,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,1
TRF-000033,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,1
